team_name,wage_expenditure
Phoenix Suns,436722592.0
Dallas Mavericks,483506397.0
New Orleans Pelicans,503603539.0
Brooklyn Nets,542409378.0
New York Knicks,535538446.0
Memphis Grizzlies,518567173.0
Minnesota Timberwolves,472769455.0
Los Angeles Lakers,520171573.0
Cleveland Caveliers,567817687.0
Golden State Warriors,543010757.0
Orlando Magic,466277603.0
Los Angeles Clippers,559479914.0
Detroit Pistons,427795293.0
Boston Celtic,405456708.0
Chicago Bulls,422727809.0
Milwaukee Bucks,470485398.0
Indiana Pacers,455777115.0
Washington Wizards,525267742.0
Atlanta Hawks,446700580.0
Utah Jazz,434854235.0
Charlotte Hornets,285102510.0
Philadelphia 76ers,447846937.0
Portland Trail Blazers,522488712.0
San Antonio Spurs,515227589.0
Oklahoma City Thunder,538092905.0
Houston Rockets,448551976.0
Sacramento Kings,469481367.0
Toronto Raptors ,493641956.0
Miami Heat,561956281.0
Denver Nuggets,454216903.0
